city	uf	latitude	longitude	precision	address
IGARAPE DO MEIO	MA	-3.6784541	-45.1120424	APPROXIMATE	Igarapé do Meio - State of Maranhão, Brazil
BELO HORIZONTE	MG	-19.9245018	-43.9352376	APPROXIMATE	Belo Horizonte - State of Minas Gerais, Brazil
SERRA DO SALITRE	MG	-19.1400405	-46.63192120000001	APPROXIMATE	Serra do Salitre - State of Minas Gerais, Brazil
CUSTODIA	PE	-8.1884178	-37.681228	APPROXIMATE	Custódia - State of Pernambuco, Brazil
OLIVENCA	AL	-9.4867558	-37.1687339	APPROXIMATE	Olivença - State of Alagoas, Brazil
RIO DE JANEIRO	RJ	-22.9068467	-43.1728965	APPROXIMATE	Rio de Janeiro, State of Rio de Janeiro, Brazil
PARANAVAI	PR	-23.0821226	-52.462215500000006	APPROXIMATE	Paranavaí, PR, Brazil
BRASILIA	DF	-15.794156900000004	-47.8825289	APPROXIMATE	Brasilia - Federal District, Brazil
URUOCA	CE	-3.3067529	-40.67528529999999	APPROXIMATE	Uruoca - State of Ceará, Brazil
TEIXEIRA DE FREITAS	BA	-17.5400307	-39.7421813	APPROXIMATE	Teixeira de Freitas, BA, Brazil
CAMACARI	BA	-12.6971776	-38.33319829999999	APPROXIMATE	Camaçari, BA, Brazil
DUARTINA	SP	-22.3808056	-49.4262684	APPROXIMATE	Duartina - State of São Paulo, Brazil
BARRAS	PI	-4.2450638	-42.2925342	APPROXIMATE	Barras - State of Piauí, Brazil
JUAREZ TAVORA	PB	-7.1730913	-35.5904072	APPROXIMATE	Juarez Távora - State of Paraíba, Brazil
ITAPETIM	PE	-7.4015507	-37.1472998	APPROXIMATE	Itapetim - State of Pernambuco, Brazil
PARINTINS	AM	-2.6377821	-56.7295415	APPROXIMATE	Parintins - State of Amazonas, Brazil
PEREIRO	CE	-6.0436265	-38.4607226	APPROXIMATE	Pereiro - State of Ceará, Brazil
QUIXADA	CE	-4.9684385	-39.0161259	APPROXIMATE	Quixadá, CE, Brazil
SANTA LUZIA DO PARUA	MA	-2.512143	-45.8279734	APPROXIMATE	Santa Luzia do Paruá - State of Maranhão, Brazil
CARIRE	CE	-3.946441000000001	-40.51271420000001	APPROXIMATE	Cariré - State of Ceará, Brazil
SANTA RITA	PB	-7.1358679999999985	-34.966235299999994	APPROXIMATE	Santa Rita, PB, Brazil
MESQUITA	MG	-19.2242621	-42.6081935	APPROXIMATE	Mesquita - State of Minas Gerais, Brazil
TATUI	SP	-23.3492186	-47.8465761	APPROXIMATE	Tatuí, SP, Brazil
ISRAELANDIA	GO	-16.3198661	-50.9075716	APPROXIMATE	Israelândia - State of Goiás, Brazil
SAO JOAO DE MERITI	RJ	-22.790968	-43.369805	APPROXIMATE	São João de Meriti - State of Rio de Janeiro, Brazil
SALVADOR	BA	-12.9730401	-38.502304	APPROXIMATE	Salvador, State of Bahia, Brazil
VARZELANDIA	MG	-15.6417201	-43.9055155	APPROXIMATE	Varzelândia - State of Minas Gerais, Brazil
JUAZEIRO	BA	-9.4167977	-40.503516	APPROXIMATE	Juazeiro - State of Bahia, Brazil
ABREU E LIMA	PE	-7.9011493	-34.8987086	APPROXIMATE	Abreu e Lima - State of Pernambuco, Brazil
AMARGOSA	BA	-13.0299064	-39.6024157	APPROXIMATE	Amargosa - State of Bahia, Brazil
PAULISTA	PE	-7.9181902000000015	-34.8207597	APPROXIMATE	Paulista - State of Pernambuco, Brazil
PARNARAMA	MA	-5.6868985	-43.1078361	APPROXIMATE	Parnarama - State of Maranhão, Brazil
PACATUBA	SE	-10.5224941	-36.6525696	APPROXIMATE	Pacatuba - State of Sergipe, Brazil
MAMONAS	MG	-15.0051021	-42.9611571	APPROXIMATE	Mamonas - State of Minas Gerais, Brazil
LOUVEIRA	SP	-23.0931156	-46.9513691	APPROXIMATE	Louveira - State of São Paulo, Brazil
VARZEA ALEGRE	CE	-6.7943447	-39.29822539999999	APPROXIMATE	Várzea Alegre - State of Ceará, Brazil
EUNAPOLIS	BA	-16.3719941	-39.5825118	APPROXIMATE	Eunápolis - State of Bahia, Brazil
BELFORD ROXO	RJ	-22.7645391	-43.3996264	APPROXIMATE	Belford Roxo, RJ, Brazil
BOTUMIRIM	MG	-16.915180499999998	-42.98060870000001	APPROXIMATE	Botumirim - State of Minas Gerais, Brazil
SIMONESIA	MG	-20.1224278	-42.0029867	APPROXIMATE	Simonésia, MG, Brazil
MACAIBA	RN	-5.8562141	-35.355190500000006	APPROXIMATE	Macaíba, RN, Brazil
CARPINA	PE	-7.7935059	-35.3246769	APPROXIMATE	Carpina - State of Pernambuco, Brazil
MASSAPE	CE	-3.5240219	-40.34263060000001	APPROXIMATE	Massapê, CE, Brazil
VITORIA	ES	-20.2976178	-40.2957768	APPROXIMATE	Vitoria, Vitória - State of Espírito Santo, Brazil
PACO DO LUMIAR	MA	-2.5169408	-44.10227620000001	APPROXIMATE	Paço do Lumiar - Maioba, Paço do Lumiar - MA, Brazil
SAO JOAO DO RIO DO PEIXE	PB	-6.7680214	-38.4429274	APPROXIMATE	São João do Rio do Peixe - State of Paraíba, Brazil
CASTRO	PR	-24.7895729	-50.0112458	APPROXIMATE	Castro, PR, Brazil
IGUAPE	SP	-24.7097632	-47.5562213	APPROXIMATE	Iguape - State of São Paulo, Brazil
COROATA	MA	-4.1283534	-44.1303057	APPROXIMATE	Coroatá - State of Maranhão, Brazil
SANTANA DO LIVRAMENTO	RS	-30.8772854	-55.5392304	APPROXIMATE	Santana do Livramento - RS, Brazil
LAGOA DO OURO	PE	-9.1467724	-36.4580775	APPROXIMATE	Lagoa do Ouro - State of Pernambuco, Brazil
UMUARAMA	PR	-23.7661064	-53.3206105	APPROXIMATE	Umuarama, PR, Brazil
GUARAPUAVA	PR	-25.3907214	-51.4628097	APPROXIMATE	Guarapuava - Boqueirão, Guarapuava - PR, Brazil
TEIXEIRA	PB	-7.2212062	-37.2523026	APPROXIMATE	Teixeira, PB, Brazil
MOJU	PA	-1.8844563	-48.76553060000001	APPROXIMATE	Moju, PA, Brazil
CAMPO ALEGRE	AL	-9.7831304	-36.3507729	APPROXIMATE	Campo Alegre - State of Alagoas, Brazil
ICARAI DE MINAS	MG	-16.2174411	-44.903849	APPROXIMATE	Icaraí de Minas - State of Minas Gerais, Brazil
CANTAGALO	MG	-18.5313099	-42.6489222	APPROXIMATE	Cantagalo - State of Minas Gerais, Brazil
SAO BERNARDO	MA	-3.3709267999999994	-42.4186435	APPROXIMATE	São Bernardo - State of Maranhão, Brazil
SANTA MARIA DA VITORIA	BA	-13.3854935	-44.2020553	APPROXIMATE	Santa Maria da Vitória - State of Bahia, Brazil
LAGO DOS RODRIGUES	MA	-4.6207379	-44.9440129	APPROXIMATE	Lago dos Rodrigues - State of Maranhão, Brazil
PRATANIA	SP	-22.82203	-48.6990679	APPROXIMATE	Pratânia - State of São Paulo, Brazil
SALGUEIRO	PE	-8.072506599999999	-39.1268089	APPROXIMATE	Salgueiro, PE, Brazil
CANUTAMA	AM	-6.532966	-64.3871458	APPROXIMATE	Canutama - State of Amazonas, Brazil
SAO JOSE DO EGITO	PE	-7.4686612	-37.2746574	APPROXIMATE	São José do Egito, PE, Brazil
NATAL	RN	-5.7792569	-35.200916	APPROXIMATE	Natal, RN, Brazil
VESPASIANO	MG	-19.733343100000006	-43.9341408	APPROXIMATE	Vespasiano - State of Minas Gerais, Brazil
OCARA	CE	-4.489960400000001	-38.5976394	APPROXIMATE	Ocara - State of Ceará, Brazil
IPIRA	BA	-12.1571052	-39.7400824	APPROXIMATE	Ipirá - State of Bahia, Brazil
SAO LUIS GONZAGA DO MARANHAO	MA	-4.3774492	-44.66985250000001	APPROXIMATE	São Luís Gonzaga do Maranhão - State of Maranhão, Brazil
VARGINHA	MG	-21.5560521	-45.4368421	APPROXIMATE	Varginha - State of Minas Gerais, Brazil
SOURE	PA	-0.7284713	-48.5178371	APPROXIMATE	Soure - State of Pará, Brazil
BEZERROS	PE	-8.1698845	-35.784354	APPROXIMATE	Bezerros - Encruzilhada, Bezerros - PE, Brazil
IGARAPE-MIRI	PA	-1.9767218	-48.960543	APPROXIMATE	Igarapé-Miri - State of Pará, Brazil
ANAGE	BA	-14.616073000000002	-41.1368842	APPROXIMATE	Anagé - State of Bahia, Brazil
BIAS FORTES	MG	-21.60584	-43.7717073	APPROXIMATE	Bias Fortes - State of Minas Gerais, Brazil
VALPARAISO DE GOIAS	GO	-16.0655297	-47.9761119	APPROXIMATE	Valparaíso de Goiás, GO, Brazil
JOAO PESSOA	PB	-7.1194958	-34.845011799999995	APPROXIMATE	João Pessoa, PB, Brazil
GRAJAU	MA	-5.8248093	-46.1594921	APPROXIMATE	Grajaú, MA, Brazil
BALSAS	MA	-7.533030900000001	-46.035885	APPROXIMATE	Balsas, MA, Brazil
PALMEIRANDIA	MA	-2.6794855	-45.0373171	APPROXIMATE	Palmeirândia - State of Maranhão, Brazil
VOTORANTIM	SP	-23.540286	-47.4445978	APPROXIMATE	Votorantim, SP, Brazil
OSORIO	RS	-29.8885619	-50.2698884	APPROXIMATE	Osório, RS, Brazil
MEDINA	MG	-16.2246048	-41.471521	APPROXIMATE	Medina - State of Minas Gerais, Brazil
SANTOS	SP	-23.9561304	-46.3264089	APPROXIMATE	Santos - State of São Paulo, Brazil
JAPOATA	SE	-10.3460436	-36.7989829	APPROXIMATE	Japoatã - State of Sergipe, Brazil
JEQUIE	BA	-13.8590328	-40.0837506	APPROXIMATE	Jequié - State of Bahia, Brazil
AMARANTE	PI	-6.3493205	-42.7466993	APPROXIMATE	Amarante - State of Piauí, Brazil
APODI	RN	-5.6624974	-37.7988488	APPROXIMATE	Apodi - State of Rio Grande do Norte, Brazil
RIO GRANDE	RS	-32.2998858	-52.44654739999999	APPROXIMATE	Rio Grande - RS, Brazil
TERESINA	PI	-5.0920108	-42.8037597	APPROXIMATE	Teresina - State of Piauí, Brazil
TIRADENTES	MG	-21.1102097	-44.17336210000001	APPROXIMATE	Tiradentes - State of Minas Gerais, Brazil
CALDAS BRANDAO	PB	-7.1279129	-35.3356518	APPROXIMATE	Caldas Brandão - PB, Brazil
BURITI BRAVO	MA	-5.8327847	-43.8356779	APPROXIMATE	Buriti Bravo - State of Maranhão, Brazil
ITACOATIARA	AM	-3.3339824	-58.5543821	APPROXIMATE	Itacoatiara - State of Amazonas, Brazil
BOM JESUS DO NORTE	ES	-21.0980507	-41.63111660000001	APPROXIMATE	Bom Jesus do Norte - State of Espírito Santo, Brazil
OBIDOS	PA	-1.9014476	-55.521283200000006	APPROXIMATE	Óbidos - State of Pará, Brazil
JUPI	PE	-8.719493	-36.4039629	APPROXIMATE	Jupi - State of Pernambuco, Brazil
RIACHAO DO JACUIPE	BA	-11.8073632	-39.3809152	APPROXIMATE	Riachão do Jacuípe, BA, Brazil
CABO DE SANTO AGOSTINHO	PE	-8.2794071	-35.0303459	APPROXIMATE	Cabo de Santo Agostinho - State of Pernambuco, Brazil
IBEMA	PR	-25.1646004	-53.02440179999999	APPROXIMATE	Ibema - State of Paraná, Brazil
ITAPEVI	SP	-23.5492651	-46.93319620000001	APPROXIMATE	Itapevi, SP, Brazil
EMBU	SP	-23.6515085	-46.8521864	APPROXIMATE	Embu - Jardim Branca Flor, Embu - SP, Brazil
MONCAO	MA	-3.4551234	-45.3369459	APPROXIMATE	Monção - State of Maranhão, Brazil
JUAZEIRO DO NORTE	CE	-7.2284727	-39.3121233	APPROXIMATE	Juazeiro do Norte - State of Ceará, Brazil
BATAGUASSU	MS	-21.7204699	-52.4296731	APPROXIMATE	Bataguassu, MS, Brazil
CODO	MA	-4.4605557000000005	-43.88945	APPROXIMATE	Codó, MA, Brazil
JUARA	MT	-11.2670409	-57.51656120000001	APPROXIMATE	Juara - State of Mato Grosso, Brazil
PIRITIBA	BA	-11.7296208	-40.5549865	APPROXIMATE	Piritiba - State of Bahia, Brazil
ANDRADINA	SP	-20.8990393	-51.379714	APPROXIMATE	Andradina - State of São Paulo, Brazil
GUARACIABA DO NORTE	CE	-4.1586852	-40.7477727	APPROXIMATE	Guaraciaba do Norte - State of Ceará, Brazil
PORTO ACRE	AC	-9.6333647	-67.71391	APPROXIMATE	Porto Acre - State of Acre, Brazil
FORTALEZA	CE	-3.7318616	-38.5266704	APPROXIMATE	Fortaleza - Zone 1, Fortaleza - State of Ceará, Brazil
BARRA	BA	-11.0897577	-43.1390524	APPROXIMATE	Barra, BA, Brazil
BARREIROS	PE	-8.814697	-35.1937281	APPROXIMATE	Barreiros - State of Pernambuco, Brazil
MUCURI	BA	-18.0833977	-39.5499731	APPROXIMATE	Mucuri, BA, Brazil
MOGI DAS CRUZES	SP	-23.5213379	-46.185867	APPROXIMATE	Mogi das Cruzes - State of São Paulo, Brazil
NOVA IPIXUNA	PA	-4.9598573	-49.2435998	APPROXIMATE	Nova Ipixuna - State of Pará, Brazil
SERRA CAIADA	RN	-6.1035456	-35.7188463	APPROXIMATE	Serra Caiada - RN, Brazil
VOLTA REDONDA	RJ	-22.5077597	-44.0947303	APPROXIMATE	Volta Redonda - State of Rio de Janeiro, Brazil
CAXIAS	MA	-4.8654138	-43.3619983	APPROXIMATE	Caxias - State of Maranhão, Brazil
MARANGUAPE	CE	-3.8918125	-38.6832565	APPROXIMATE	Maranguape - Fazenda Coité, Maranguape - CE, Brazil
GUADALUPE	PI	-6.7916567	-43.5705877	APPROXIMATE	Guadalupe - State of Piauí, Brazil
CANSANCAO	BA	-10.6678189	-39.49645170000001	APPROXIMATE	Cansanção, BA, Brazil
ARACOIABA	CE	-4.5110173	-38.6949149	APPROXIMATE	Aracoiaba - CE, Brazil
ITAPIPOCA	CE	-3.499706	-39.5839241	APPROXIMATE	Itapipoca, CE, Brazil
URUARA	PA	-3.7155611	-53.7401061	APPROXIMATE	Uruará, PA, Brazil
JITAUNA	BA	-13.944615400000002	-39.8784831	APPROXIMATE	Jitaúna - State of Bahia, Brazil
ACARA	PA	-2.0159736	-48.3190276	APPROXIMATE	Acará - State of Pará, Brazil
TABOAO DA SERRA	SP	-23.6228759	-46.78166470000001	APPROXIMATE	Taboão da Serra, SP, Brazil
OLINDA	PE	-7.9908056	-34.841629	APPROXIMATE	Olinda - State of Pernambuco, Brazil
RIBEIRAO DAS NEVES	MG	-19.7618937	-44.0853128	APPROXIMATE	Ribeirão das Neves - State of Minas Gerais, Brazil
SANTA MARIA DO PARA	PA	-1.35054	-47.5765304	APPROXIMATE	Santa Maria do Pará - State of Pará, Brazil
SAO JOSE DE RIBAMAR	MA	-2.5503853	-44.070196	APPROXIMATE	São José de Ribamar, MA, Brazil
MEDEIROS NETO	BA	-17.3706773	-40.2241022	APPROXIMATE	Medeiros Neto - State of Bahia, Brazil
CABROBO	PE	-8.5081255	-39.31036339999999	APPROXIMATE	Cabrobó - State of Pernambuco, Brazil
JUSSARI	BA	-15.125397400000002	-39.5071372	APPROXIMATE	Jussari - State of Bahia, Brazil
IBICUITINGA	CE	-4.9774848	-38.63749650000001	APPROXIMATE	Ibicuitinga - State of Ceará, Brazil
QUEIMADOS	RJ	-22.7106685	-43.5522256	APPROXIMATE	Queimados, RJ, Brazil
IPUBI	PE	-7.5613556	-40.1862129	APPROXIMATE	Ipubi - State of Pernambuco, Brazil
JUCURUTU	RN	-6.0570864	-36.9970831	APPROXIMATE	Jucurutu - State of Rio Grande do Norte, Brazil
DIADEMA	SP	-23.6818396	-46.620967	APPROXIMATE	Diadema, SP, Brazil
CARIRA	SE	-10.3561021	-37.7022351	APPROXIMATE	Carira - State of Sergipe, Brazil
ARACATI	CE	-4.5612094	-37.7688612	APPROXIMATE	Aracati, CE, Brazil
CANOAS	RS	-29.9132584	-51.18619210000001	APPROXIMATE	Canoas, RS, Brazil
GUARULHOS	SP	-23.4543148	-46.5336521	APPROXIMATE	Guarulhos - State of São Paulo, Brazil
MONTE SANTO	BA	-10.4387228	-39.3330177	APPROXIMATE	Monte Santo - State of Bahia, Brazil
IBATIBA	ES	-20.2351644	-41.50906679999999	APPROXIMATE	Ibatiba, ES, Brazil
SANTA HELENA	MA	-2.4079614	-45.4121561	APPROXIMATE	Santa Helena - State of Maranhão, Brazil
UTINGA	BA	-12.0827452	-41.096945700000006	APPROXIMATE	Utinga - State of Bahia, Brazil
BEBERIBE	CE	-4.1828216000000005	-38.1300412	APPROXIMATE	Beberibe - State of Ceará, Brazil
SANTA HELENA DE GOIAS	GO	-17.8119748	-50.59812520000001	APPROXIMATE	Santa Helena de Goiás, GO, Brazil
BONITO	PE	-8.4893879	-35.7188463	APPROXIMATE	Bonito, PE, Brazil
SAO MIGUEL	RN	-6.1960856	-38.4639632	APPROXIMATE	São Miguel - State of Rio Grande do Norte, Brazil
PAROBE	RS	-29.624757899999995	-50.83168679999999	APPROXIMATE	Parobé, RS, Brazil
EUCLIDES DA CUNHA	BA	-10.5082596	-39.01560739999999	APPROXIMATE	Euclides da Cunha - BA, Brazil
VIANA	ES	-20.3646691	-40.4274631	APPROXIMATE	Viana, ES, Brazil
PARIPUEIRA	AL	-9.4635594	-35.5522986	APPROXIMATE	Paripueira, AL, Brazil
SANTANA DO SAO FRANCISCO	SE	-10.288919900000002	-36.6417777	APPROXIMATE	Santana do São Francisco - State of Sergipe, Brazil
PORTO SEGURO	BA	-16.444353699999994	-39.0653656	APPROXIMATE	Porto Seguro, BA, Brazil
GOIOXIM	PR	-25.118718	-51.9791849	APPROXIMATE	Goioxim - State of Paraná, Brazil
BELEM	PA	-1.4557794	-48.4901968	APPROXIMATE	Belém - State of Pará, Brazil
NOVO ORIENTE	CE	-5.614833	-40.7564002	APPROXIMATE	Novo Oriente - State of Ceará, Brazil
CUPIRA	PE	-8.611052800000001	-35.9516053	APPROXIMATE	Cupira - State of Pernambuco, Brazil
ANAPOLIS	GO	-16.328546	-48.953403	APPROXIMATE	Anápolis, GO, Brazil
SANTO ANDRE	SP	-23.6742228	-46.5436003	APPROXIMATE	Santo André, State of São Paulo, Brazil
RUBIATABA	GO	-15.1662376	-49.8052085	APPROXIMATE	Rubiataba - State of Goiás, Brazil
SAO JOAO	PE	-8.875220599999997	-36.3661891	APPROXIMATE	São João, PE, Brazil
MANAUS	AM	-3.1190275	-60.0217314	APPROXIMATE	Manaus, AM, Brazil
MARABA	PA	-5.381132599999999	-49.1331046	APPROXIMATE	Marabá - State of Pará, Brazil
ARARUAMA	RJ	-22.8636192	-42.33363129999999	APPROXIMATE	Araruama, RJ, Brazil
NITEROI	RJ	-22.8858975	-43.1152211	APPROXIMATE	Niterói, State of Rio de Janeiro, Brazil
CAMACAN	BA	-15.4201038	-39.4964037	APPROXIMATE	Camacan, State of Bahia, Brazil
MARIBONDO	AL	-9.5773909	-36.30583920000001	APPROXIMATE	Maribondo, AL, Brazil
BATURITE	CE	-4.3325997	-38.8773164	APPROXIMATE	Baturité, CE, Brazil
ICO	CE	-6.4026236	-38.8591633	APPROXIMATE	Icó, CE, Brazil
PARACURU	CE	-3.4142906	-39.0303806	APPROXIMATE	Paracuru, CE, Brazil
MURITIBA	BA	-12.6333475	-38.992409	APPROXIMATE	Muritiba - State of Bahia, Brazil
PACATUBA	CE	-3.9295278	-38.60577979999999	APPROXIMATE	Pacatuba, CE, Brazil
BREJO	MA	-3.6566004	-42.7857583	APPROXIMATE	Brejo - State of Maranhão, Brazil
ARACUAI	MG	-16.8488172	-42.0633003	APPROXIMATE	Araçuaí, MG, Brazil
CASINHAS	PE	-7.7557907	-35.7188463	APPROXIMATE	Casinhas - State of Pernambuco, Brazil
RIO DAS OSTRAS	RJ	-22.5272615	-41.9463785	APPROXIMATE	Rio das Ostras - State of Rio de Janeiro, Brazil
IBICUI	BA	-14.7488432	-39.940155	APPROXIMATE	Ibicuí - State of Bahia, Brazil
FLORESTAL	MG	-19.8680623	-44.4370606	APPROXIMATE	Florestal - State of Minas Gerais, Brazil
NOVA OLINDA DO NORTE	AM	-3.9690604	-58.64583689999999	APPROXIMATE	Nova Olinda do Norte - State of Amazonas, Brazil
VICOSA DO CEARA	CE	-3.5670807	-41.09191970000001	APPROXIMATE	Viçosa do Ceará, CE, Brazil
AGUAS LINDAS DE GOIAS	GO	-15.7460358	-48.299098	APPROXIMATE	Águas Lindas de Goiás - State of Goiás, Brazil
PORTO ALEGRE	RS	-30.0346471	-51.2176584	APPROXIMATE	Porto Alegre, RS, Brazil
CAMETA	PA	-2.2414892	-49.4984804	APPROXIMATE	Cametá, PA, Brazil
JOACABA	SC	-27.1743773	-51.5054475	APPROXIMATE	Joaçaba, SC, Brazil
BOA VISTA DO TUPIM	BA	-12.6595924	-40.6050834	APPROXIMATE	Boa Vista do Tupim - State of Bahia, Brazil
CORURIPE	AL	-10.1250022	-36.1761522	APPROXIMATE	Coruripe - State of Alagoas, Brazil
TAQUARITINGA DO NORTE	PE	-7.8428746	-36.1328132	APPROXIMATE	Taquaritinga do Norte - State of Pernambuco, Brazil
ESPERANTINOPOLIS	MA	-4.8734711	-44.8813216	APPROXIMATE	Esperantinópolis - Boa Esperança do Mearim, Esperantinópolis - MA, Brazil
PRADO	BA	-17.335713199999994	-39.2253071	APPROXIMATE	Prado - State of Bahia, Brazil
MARIZOPOLIS	PB	-6.8377331	-38.34818370000001	APPROXIMATE	Marizópolis - State of Paraíba, Brazil
CONDADO	PE	-7.5857564	-35.10075429999999	APPROXIMATE	Condado - State of Pernambuco, Brazil
BAGE	RS	-31.33017460000001	-54.10047090000001	APPROXIMATE	Bagé - RS, Brazil
TIANGUA	CE	-3.7300232	-40.9926511	APPROXIMATE	Tianguá, CE, Brazil
RIO BRANCO DO SUL	PR	-25.12785	-49.2435998	APPROXIMATE	Rio Branco do Sul - State of Paraná, Brazil
SAO LUIS	MA	-2.5391099	-44.2829046	APPROXIMATE	São Luís - Vila Maranhão, São Luís - MA, Brazil
MISSAO VELHA	CE	-7.249649900000001	-39.1454398	APPROXIMATE	Missão Velha - State of Ceará, Brazil
FLEXEIRAS	AL	-9.2750031	-35.7244146	APPROXIMATE	Flexeiras - State of Alagoas, Brazil
PONTA GROSSA	PR	-25.0993621	-50.1584514	APPROXIMATE	Ponta Grossa - State of Paraná, Brazil
JACAREZINHO	PR	-23.1580947	-49.9777136	APPROXIMATE	Jacarezinho - State of Paraná, Brazil
FRANCISCO BELTRAO	PR	-26.0404504	-53.1749726	APPROXIMATE	Francisco Beltrão - State of Paraná, Brazil
RIBEIRAO PIRES	SP	-23.707162300000004	-46.4062503	APPROXIMATE	Ribeirão Pires, SP, Brazil
JOAO COSTA	PI	-8.484871	-42.4724578	APPROXIMATE	João Costa - State of Piauí, Brazil
BOM PROGRESSO	RS	-27.5587954	-53.84545960000001	APPROXIMATE	Bom Progresso - RS, Brazil
BATATAIS	SP	-20.893344100000004	-47.59259520000001	APPROXIMATE	Batatais, SP, Brazil
PETROPOLIS	RJ	-22.5112638	-43.17791370000001	APPROXIMATE	Petrópolis - State of Rio de Janeiro, Brazil
ITAPAGIPE	MG	-19.7706354	-49.4059435	APPROXIMATE	Itapagipe - State of Minas Gerais, Brazil
FOZ DO JORDAO	PR	-25.7377615	-52.11881500000001	APPROXIMATE	Foz do Jordão - PR, Brazil
LIVRAMENTO DE NOSSA SENHORA	BA	-13.642103400000002	-41.8412112	APPROXIMATE	Livramento de Nossa Senhora - State of Bahia, Brazil
SIRINHAEM	PE	-8.5914352	-35.1186262	APPROXIMATE	Sirinhaém, PE, Brazil
SANTO ANTONIO	RN	-6.3114902000000015	-35.4785148	APPROXIMATE	Santo Antônio - State of Rio Grande do Norte, Brazil
BORBA	AM	-4.649795200000002	-59.4720904	APPROXIMATE	Borba - State of Amazonas, Brazil
ALAGOINHA	PB	-6.9502454	-35.5110513	APPROXIMATE	Alagoinha - State of Paraíba, Brazil
SAO BENEDITO	CE	-4.0448958	-40.8651294	APPROXIMATE	São Benedito - State of Ceará, Brazil
DIVINOPOLIS	MG	-20.1451261	-44.89164470000001	APPROXIMATE	Divinópolis, MG, Brazil
VIDEIRA	SC	-27.0258167	-51.1167305	APPROXIMATE	Videira - State of Santa Catarina, Brazil
CASSERENGUE	PB	-6.7806274	-35.81773829999999	APPROXIMATE	Casserengue - State of Paraíba, Brazil
ANTONIO CARDOSO	BA	-12.3842204	-39.1335549	APPROXIMATE	Antônio Cardoso - State of Bahia, Brazil
MATOES	MA	-5.5182252	-43.202077	APPROXIMATE	Matões - State of Maranhão, Brazil
TURVELANDIA	GO	-17.849404999999994	-50.3044115	APPROXIMATE	Turvelândia - State of Goiás, Brazil
COLINAS	MA	-6.0269888	-44.2467971	APPROXIMATE	Colinas - State of Maranhão, Brazil
SAO VICENTE FERRER	PE	-7.6044277	-35.489147	APPROXIMATE	São Vicente Ferrer - State of Pernambuco, Brazil
ESPERA FELIZ	MG	-20.652053	-41.9091561	APPROXIMATE	Espera Feliz, MG, Brazil
CUIABA	MT	-15.6014109	-56.0978917	APPROXIMATE	Cuiabá - Coxipó da Ponte, Cuiabá - MT, Brazil
